model,test_mae_W,test_rmse_W,test_r2,persistence_mae_W,persistence_rmse_W,persistence_r2,mae_improvement_vs_persistence_W,rmse_improvement_vs_persistence_W,best_val_loss_scaled,n_test
ftdnn_nonlinear,22.448973785573124,31.21837612006745,0.5451599942433751,35.45216440188316,50.63843683323172,-0.19673673066362585,13.003190616310036,19.420060713164272,0.4449388440698385,4047
narx_nonlinear,23.018472533683173,32.8561126350064,0.4961858088689324,35.45216440188316,50.63843683323172,-0.19673673066362585,12.433691868199986,17.782324198225325,0.4843431846238673,4047
lstm,25.541106771268108,33.37967577159187,0.480001289381665,35.45216440188316,50.63843683323172,-0.19673673066362585,9.911057630615051,17.258761061639852,0.46251015132293105,4047
narx_linear,28.789708900811025,37.50996284091968,0.3433539943945356,35.45216440188316,50.63843683323172,-0.19673673066362585,6.6624555010721345,13.128473992312045,0.5679396544583142,4047
ftdnn_linear,30.54734879141535,39.56557260403428,0.2694113018148313,35.45216440188316,50.63843683323172,-0.19673673066362585,4.904815610467811,11.072864229197442,0.571082079783082,4047
